PPM,INTENSITY
147.4183,49
147.2966,49
147.1749,49
147.0531,49
146.9314,49
146.8096,49
146.6879,49
146.5661,50
146.4444,50
146.3227,50
146.2009,50
146.0792,50
145.9574,50
145.8357,50
145.7139,50
145.5922,51
145.4705,51
145.3487,51
145.2270,51
145.1052,51
144.9835,51
144.8617,51
144.7400,51
144.6183,52
144.4965,52
144.3748,52
144.2530,52
144.1313,52
144.0095,52
143.8878,52
143.7661,52
143.6443,53
143.5226,53
143.4008,53
143.2791,53
143.1573,53
143.0356,53
142.9139,53
142.7921,53
142.6704,54
142.5486,54
142.4269,54
142.3052,54
142.1834,54
142.0617,54
141.9399,54
141.8182,55
141.6964,55
141.5747,55
141.4530,55
141.3312,55
141.2095,55
141.0877,55
140.9660,56
140.8442,56
140.7225,56
140.6008,56
140.4790,56
140.3573,56
140.2355,56
140.1138,57
139.9920,57
139.8703,57
139.7486,57
139.6268,57
139.5051,57
139.3833,57
139.2616,58
139.1398,58
139.0181,58
138.8964,58
138.7746,58
138.6529,58
138.5311,58
138.4094,59
138.2876,59
138.1659,59
138.0442,59
137.9224,59
137.8007,59
137.6789,60
137.5572,60
137.4355,60
137.3137,60
137.1920,60
137.0702,60
136.9485,60
136.8267,61
136.7050,61
136.5833,61
136.4615,61
136.3398,61
136.2180,61
136.0963,62
135.9745,62
135.8528,62
135.7311,62
135.6093,62
135.4876,62
135.3658,63
135.2441,63
135.1223,63
135.0006,63
134.8789,63
134.7571,63
134.6354,64
134.5136,64
134.3919,64
134.2701,64
134.1484,64
134.0267,65
133.9049,65
133.7832,65
133.6614,65
133.5397,65
133.4179,65
133.2962,66
133.1745,66
133.0527,66
132.9310,66
132.8092,66
132.6875,67
132.5657,67
132.4440,67
132.3223,67
132.2005,67
132.0788,67
131.9570,68
131.8353,68
131.7136,68
131.5918,68
131.4701,68
131.3483,69
131.2266,69
131.1048,69
130.9831,69
130.8614,69
130.7396,70
130.6179,70
130.4961,70
130.3744,70
130.2526,70
130.1309,71
130.0092,71
129.8874,71
129.7657,71
129.6439,71
129.5222,72
129.4004,72
129.2787,72
129.1570,72
129.0352,73
128.9135,73
128.7917,73
128.6700,73
128.5482,73
128.4265,74
128.3048,74
128.1830,74
128.0613,74
127.9395,75
127.8178,75
127.6960,75
127.5743,75
127.4526,75
127.3308,76
127.2091,76
127.0873,76
126.9656,76
126.8439,77
126.7221,77
126.6004,77
126.4786,77
126.3569,78
126.2351,78
126.1134,78
125.9917,78
125.8699,78
125.7482,79
125.6264,79
125.5047,79
125.3829,79
125.2612,80
125.1395,80
125.0177,80
124.8960,80
124.7742,81
124.6525,81
124.5307,81
124.4090,81
124.2873,82
124.1655,82
124.0438,82
123.9220,83
123.8003,83
123.6785,83
123.5568,83
123.4351,84
123.3133,84
123.1916,84
123.0698,84
122.9481,85
122.8263,85
122.7046,85
122.5829,85
122.4611,86
122.3394,86
122.2176,86
122.0959,87
121.9742,87
121.8524,87
121.7307,87
121.6089,88
121.4872,88
121.3654,88
121.2437,89
121.1220,89
121.0002,89
120.8785,90
120.7567,90
120.6350,90
120.5132,90
120.3915,91
120.2698,91
120.1480,91
120.0263,92
119.9045,92
119.7828,92
119.6610,93
119.5393,93
119.4176,93
119.2958,94
119.1741,94
119.0523,94
118.9306,95
118.8088,95
118.6871,95
118.5654,96
118.4436,96
118.3219,96
118.2001,97
118.0784,97
117.9566,97
117.8349,98
117.7132,98
117.5914,98
117.4697,99
117.3479,99
117.2262,99
117.1045,100
116.9827,100
116.8610,100
116.7392,101
116.6175,101
116.4957,101
116.3740,102
116.2523,102
116.1305,103
116.0088,103
115.8870,103
115.7653,104
115.6435,104
115.5218,104
115.4001,105
115.2783,105
115.1566,106
115.0348,106
114.9131,106
114.7913,107
114.6696,107
114.5479,108
114.4261,108
114.3044,108
114.1826,109
114.0609,109
113.9391,110
113.8174,110
113.6957,111
113.5739,111
113.4522,111
113.3304,112
113.2087,112
113.0869,113
112.9652,113
112.8435,114
112.7217,114
112.6000,114
112.4782,115
112.3565,115
112.2347,116
